population,population_definition,source,source_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,tutorial_training_recruitment,"Tutorial, guide, or training content",0,7,12,74,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",fullz_identity_package,Fullz or identity package,0,0,24,69,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",jurisdiction_localisation,Jurisdiction-specific bank or account reference,0,0,13,80,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",mule_recruitment,Mule recruitment or account-holder solicitation,0,0,0,93,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",telegram_off_platform,Telegram or private-channel coordination reference,0,0,0,93,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",tutorial_training_recruitment,"Tutorial, guide, or training content",0,0,12,81,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,fullz_identity_package,Fullz or identity package,jurisdiction_localisation,Jurisdiction-specific bank or account reference,10,14,3,66,0.37037,2.980769
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,fullz_identity_package,Fullz or identity package,mule_recruitment,Mule recruitment or account-holder solicitation,0,24,0,69,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,fullz_identity_package,Fullz or identity package,telegram_off_platform,Telegram or private-channel coordination reference,0,24,0,69,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,fullz_identity_package,Fullz or identity package,tutorial_training_recruitment,"Tutorial, guide, or training content",8,16,4,65,0.285714,2.583333
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,jurisdiction_localisation,Jurisdiction-specific bank or account reference,mule_recruitment,Mule recruitment or account-holder solicitation,0,13,0,80,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,jurisdiction_localisation,Jurisdiction-specific bank or account reference,telegram_off_platform,Telegram or private-channel coordination reference,0,13,0,80,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,jurisdiction_localisation,Jurisdiction-specific bank or account reference,tutorial_training_recruitment,"Tutorial, guide, or training content",3,10,9,71,0.136364,1.788462
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,mule_recruitment,Mule recruitment or account-holder solicitation,telegram_off_platform,Telegram or private-channel coordination reference,0,0,0,93,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,mule_recruitment,Mule recruitment or account-holder solicitation,tutorial_training_recruitment,"Tutorial, guide, or training content",0,0,12,81,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,telegram_off_platform,Telegram or private-channel coordination reference,tutorial_training_recruitment,"Tutorial, guide, or training content",0,0,12,81,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,9,2,6,71,0.529412,4.8
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,0,11,3,74,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,4,7,2,75,0.307692,5.333333
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,3,8,1,76,0.25,6.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",11,0,9,68,0.55,4.4
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,1,10,1,76,0.083333,4.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,8,3,4,73,0.533333,5.333333
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,0,11,0,77,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,0,11,1,76,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",1,10,2,75,0.076923,2.666667
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,2,13,1,72,0.125,3.911111
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,5,10,1,72,0.3125,4.888889
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,4,11,0,73,0.266667,5.866667
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",15,0,5,68,0.75,4.4
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,1,14,1,72,0.0625,2.933333
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,10,5,2,71,0.588235,4.888889
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,0,15,0,73,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,0,15,1,72,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",2,13,1,72,0.125,3.911111
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,2,1,4,81,0.285714,9.777778
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,0,3,4,81,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",3,0,17,68,0.15,4.4
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,0,3,2,83,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,2,1,10,75,0.153846,4.888889
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,mule_recruitment,Mule recruitment or account-holder solicitation,0,3,0,85,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,telegram_off_platform,Telegram or private-channel coordination reference,1,2,0,85,0.333333,29.333333
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,cashout_laundering_service,Cash-out or laundering service,tutorial_training_recruitment,"Tutorial, guide, or training content",2,1,1,84,0.5,19.555556
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,88,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,email_access_takeover,Email-access-enabled account takeover,1,5,3,79,0.111111,3.666667
