population,population_definition,source,source_denominator_n,markdown_present_n,ocr_present_n,markdown_and_ocr_present_n,neither_modality_present_n,code,label,source_positive_records_n,within_source_percent,all_sources_positive_records_n,source_share_of_positive_records
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,2,66.667,126,0.015873
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,email_access_takeover,Email-access-enabled account takeover,0,0.0,62,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,33.333,120,0.008333
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,fullz_identity_package,Fullz or identity package,0,0.0,124,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,0,0.0,116,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,telegram_off_platform,Telegram or private-channel coordination reference,0,0.0,81,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,tutorial_training_recruitment,"Tutorial, guide, or training content",1,33.333,104,0.009615
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,36,36,33,33,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,2,5.556,116,0.017241
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,36,36,33,33,0,bank_log_sale,Compromised bank log sale or discussion,15,41.667,177,0.084746
