population,population_definition,removed_source,remaining_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift,full_population_n11,n11_difference,full_population_jaccard,jaccard_difference,full_population_lift,lift_difference
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",mule_recruitment,Mule recruitment or account-holder solicitation,5,127,4,844,0.036765,4.124579,5,0,0.035971,0.000794,3.727612,0.396967
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",telegram_off_platform,Telegram or private-channel coordination reference,31,101,51,797,0.169399,2.806726,33,-2,0.175532,-0.006133,2.827844,-0.021118
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",tutorial_training_recruitment,"Tutorial, guide, or training content",42,90,62,786,0.216495,2.998252,44,-2,0.22335,-0.006855,3.0657,-0.067448
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,132,0,848,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,fullz_identity_package,Fullz or identity package,jurisdiction_localisation,Jurisdiction-specific bank or account reference,44,80,73,783,0.22335,2.972153,47,-3,0.233831,-0.010481,3.056836,-0.084683
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,fullz_identity_package,Fullz or identity package,mule_recruitment,Mule recruitment or account-holder solicitation,4,120,5,851,0.031008,3.512545,4,0,0.029851,0.001157,3.121875,0.39067
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,fullz_identity_package,Fullz or identity package,telegram_off_platform,Telegram or private-channel coordination reference,30,94,52,804,0.170455,2.891424,32,-2,0.174863,-0.004408,2.87069,0.020734
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,fullz_identity_package,Fullz or identity package,tutorial_training_recruitment,"Tutorial, guide, or training content",40,84,64,792,0.212766,3.039702,43,-3,0.223958,-0.011192,3.136463,-0.096761
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,fullz_identity_package,Fullz or identity package,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,124,0,856,0.0,0.0,1,-1,0.007812,-0.007812,7.804688,-7.804688
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,mule_recruitment,Mule recruitment or account-holder solicitation,4,113,5,858,0.032787,3.722697,4,0,0.031746,0.001041,3.33,0.392697
