population,population_definition,denominator_n,code_a,label_a,code_b,label_b,code_a_present_n,code_b_present_n,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,fullz_identity_package,Fullz or identity package,126,124,44,82,80,257,0.213592,1.303891
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,jurisdiction_localisation,Jurisdiction-specific bank or account reference,126,116,35,91,81,256,0.169082,1.108716
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,mule_recruitment,Mule recruitment or account-holder solicitation,126,9,7,119,2,335,0.054688,2.858025
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,telegram_off_platform,Telegram or private-channel coordination reference,126,81,34,92,47,290,0.196532,1.542426
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,tutorial_training_recruitment,"Tutorial, guide, or training content",126,104,44,82,60,277,0.236559,1.55464
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",62,120,13,49,107,294,0.076923,0.809005
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,fullz_identity_package,Fullz or identity package,62,124,24,38,100,301,0.148148,1.445369
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,jurisdiction_localisation,Jurisdiction-specific bank or account reference,62,116,40,22,76,325,0.289855,2.575083
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,mule_recruitment,Mule recruitment or account-holder solicitation,62,9,0,62,9,392,0.0,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,telegram_off_platform,Telegram or private-channel coordination reference,62,81,10,52,71,330,0.075188,0.921943
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,email_access_takeover,Email-access-enabled account takeover,tutorial_training_recruitment,"Tutorial, guide, or training content",62,104,20,42,84,317,0.136986,1.436104
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",fullz_identity_package,Fullz or identity package,120,124,34,86,90,253,0.161905,1.05793
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",jurisdiction_localisation,Jurisdiction-specific bank or account reference,120,116,34,86,82,261,0.168317,1.130891
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",mule_recruitment,Mule recruitment or account-holder solicitation,120,9,5,115,4,339,0.040323,2.143519
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",telegram_off_platform,Telegram or private-channel coordination reference,120,81,25,95,56,287,0.142045,1.190844
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",tutorial_training_recruitment,"Tutorial, guide, or training content",120,104,37,83,67,276,0.197861,1.372676
